gene,DE_rank,GF_rank,GF_attention,func_log2FC,func_gates_up,surface,surface_evidence,pathways,in_consensus,in_GBM,in_melanoma,GF_unique,priority_score
GAL,1095.0,52.0,2.121,,,True,extracellular space,,False,False,False,False,1.5
PRAME,1668.0,69.0,1.997,,,True,plasma membrane,,False,False,False,False,1.5
PABPC3,,67.0,2.032,,,True,extracellular exosome,,False,False,False,False,1.5
TSPAN15,,63.0,2.05,,,True,"cell surface, plasma membrane",,False,False,False,False,1.5
KCNS3,,90.0,1.875,,,True,plasma membrane,,False,False,False,False,1.5
PSMB9,45.0,903.0,1.046,0.479,3/3,False,,,False,False,False,False,1.48
LDHB,7.0,608.0,1.188,0.388,2/3,False,,,False,False,False,False,1.39
ALDH1A1,3010.0,813.0,1.086,1.31,3/3,False,,,False,False,False,False,1.31
CYBA,18.0,3749.0,0.72,0.29,3/3,False,,,False,False,False,False,1.29
CBX3,,33.0,2.264,0.229,2/3,False,,,False,False,False,True,1.25
COTL1,19.0,3543.0,0.73,0.198,2/3,False,,,False,False,False,False,1.2
PRNP,41.0,7886.0,0.599,0.168,2/3,False,,,False,False,False,False,1.17
RPS19,42.0,347.0,1.377,0.16,2/3,False,,,False,False,False,False,1.16
MSX2,,31.0,2.278,-0.108,2/3,False,,,False,False,False,True,1.14
RPL37A,48.0,304.0,1.445,0.119,2/3,False,,,False,False,False,False,1.12
RPS16,22.0,491.0,1.25,0.107,2/3,False,,,False,False,False,False,1.11
CALD1,9.0,2909.0,0.762,0.1,3/3,False,,,False,False,False,False,1.1
RPL10A,47.0,3309.0,0.741,0.01,2/3,False,,,False,False,False,False,1.01
TPT1,24.0,745.0,1.116,0.007,1/3,False,,,False,False,False,False,1.01
RPL22L1,85.0,68.0,2.008,0.008,2/3,False,,,True,False,False,False,1.01
FABP5,29.0,3115.0,0.751,-0.671,2/3,False,,,False,False,False,False,1.0
RPS27A,13.0,525.0,1.233,-0.055,2/3,False,,,False,False,False,False,1.0
TRIP6,44.0,4937.0,0.679,-0.115,2/3,False,,,False,False,False,False,1.0
C1S,50.0,752.0,1.114,-0.395,0/3,False,,,False,False,False,False,1.0
RPL13,5.0,723.0,1.123,0.005,2/3,False,,,False,False,False,False,1.0
YBX1,12.0,1880.0,0.85,-0.011,2/3,False,,,False,False,False,False,1.0
RPS2,40.0,267.0,1.507,-0.071,2/3,False,,,False,False,False,False,1.0
FSCN1,17.0,568.0,1.208,-0.045,2/3,False,,,False,False,False,False,1.0
RPL4,11.0,1437.0,0.916,-0.021,2/3,False,,,False,False,False,False,1.0
TAF1D,34.0,7923.0,0.598,-0.008,2/3,False,,,False,False,False,False,1.0
TPM2,38.0,317.0,1.427,-0.006,1/3,False,,,False,False,False,False,1.0
YBX3,43.0,3619.0,0.726,-0.825,0/1,False,,,False,False,False,False,1.0
PABPC1,8.0,2385.0,0.799,-0.086,2/3,False,,,False,False,False,False,1.0
EEF1B2,6.0,612.0,1.187,-0.124,2/3,False,,,False,False,False,False,1.0
RPL18A,28.0,560.0,1.213,-0.006,2/3,False,,,False,False,False,False,1.0
RPS6,4.0,948.0,1.034,-0.02,2/3,False,,,False,False,False,False,1.0
RPS3,10.0,877.0,1.055,-0.163,2/3,False,,,False,False,False,False,1.0
TUG1,,37.0,2.245,0.203,3/3,False,,,False,False,False,True,0.98
MLLT11,1328.0,50.0,2.143,0.92,3/3,False,,,False,False,False,True,0.92
PROX1,,36.0,2.25,-0.412,1/3,False,,,False,False,False,True,0.84
KRTAP4-8,,38.0,2.233,0.02,1/2,False,,,False,False,False,True,0.74
NES,1511.0,,,0.222,3/3,False,,,False,True,False,False,0.72
CRYZL1,,40.0,2.21,-0.181,0/3,False,,,False,False,False,True,0.6
PROM1,513.0,1966.0,0.841,0.322,3/3,False,,,False,False,False,False,0.32
