gene_symbol,lr_coef,lr_abs
PRICKLE2,-0.007648608,0.007648608
LINC01550,-0.007654426,0.007654426
RP11-540A21.2,-0.007654483,0.007654483
MAP2K2,-0.007658995,0.007658995
PPP1R32,-0.0076595386,0.0076595386
EIF2S3L,-0.007660712,0.007660712
SNTA1,-0.007664006,0.007664006
CNNM3,-0.0076640416,0.0076640416
AREL1,-0.00766418,0.00766418
LINC01124,-0.0076646493,0.0076646493
ZNF428,-0.0076654525,0.0076654525
FBXO30,-0.007666644,0.007666644
C16orf45,-0.007673316,0.007673316
GPNMB,-0.0076736296,0.0076736296
SIRT6,-0.0076754782,0.0076754782
KRTAP5-2,-0.0076761437,0.0076761437
RP4-535B20.4,-0.007676149,0.007676149
MRPL51,-0.007677198,0.007677198
CD52,-0.0076796194,0.0076796194
TRBV15,-0.0076819616,0.0076819616
AASDHPPT,-0.0076835616,0.0076835616
RP11-245G13.2,-0.007690077,0.007690077
EAF2,-0.007690088,0.007690088
NRXN3,-0.007690359,0.007690359
RP11-379C10.4,-0.0076917307,0.0076917307
AC080094.1,-0.0076926956,0.0076926956
DCAF5,-0.0076932567,0.0076932567
HIST2H4B,-0.007693518,0.007693518
EPB41,-0.0076968144,0.0076968144
RAPGEF4,-0.0076983417,0.0076983417
WT1,-0.007699488,0.007699488
RP11-484K9.4,-0.007703643,0.007703643
PCDHA11,-0.0077043963,0.0077043963
AC010761.6,-0.007705413,0.007705413
LINC01194,-0.007706228,0.007706228
RGS3,-0.0077074696,0.0077074696
ANKRD24,-0.007708232,0.007708232
RP11-362K14.7,-0.0077084787,0.0077084787
KDM4A,-0.0077160033,0.0077160033
PGLYRP1,-0.0077163125,0.0077163125
RP11-1C8.7,-0.007716771,0.007716771
RP11-706C16.7,-0.0077197435,0.0077197435
AC006262.5,-0.0077202814,0.0077202814
CAPN3,-0.0077210693,0.0077210693
IDH2,-0.0077214134,0.0077214134
CD2AP,-0.0077242213,0.0077242213
RP11-307C12.13,-0.0077249976,0.0077249976
TRGV2,-0.0077264933,0.0077264933
KIF1B,-0.0077269403,0.0077269403
RP11-16E12.1,-0.007727183,0.007727183
DPP9,-0.00772883,0.00772883
CTD-2540F13.2,-0.007729639,0.007729639
ERICH1,-0.0077301674,0.0077301674
TMEM94,-0.0077303248,0.0077303248
FBXW9,-0.007730871,0.007730871
ATAD3B,-0.007731513,0.007731513
ACBD3,-0.007733867,0.007733867
LINC01611,-0.0077338708,0.0077338708
FAM217A,-0.0077353534,0.0077353534
DTX4,-0.007736304,0.007736304
ZNF311,-0.007737296,0.007737296
MEG8,-0.0077376515,0.0077376515
RP11-584P21.2,-0.007737701,0.007737701
RP11-755B10.3,-0.007737927,0.007737927
RP11-174G6.1,-0.007739179,0.007739179
LCK,-0.007739214,0.007739214
DUSP16,-0.0077405237,0.0077405237
KCNJ8,-0.0077408208,0.0077408208
TRMT5,-0.0077416417,0.0077416417
