gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
NCOA7,24.300133,1.4052151,1.9539897868190575e-130,3.140431261161678e-128
PPFIBP1,24.288425,1.8198186,2.598066766119934e-130,4.153135438550753e-128
SLC25A37,24.277756,1.2906866,3.367894989342993e-130,5.354953033055358e-128
NAP1L1,24.225021,0.8180456,1.2126103773954685e-129,1.9177949122925248e-127
CEP57,23.991634,1.6097928,3.4001367168724744e-127,5.349008730305253e-125
ST3GAL4,23.909023,1.294621,2.4675742017333707e-126,3.7624812174429904e-124
CTSC,23.732273,2.8123906,1.674937155886719e-124,2.5151972957565566e-122
PRKCDBP,23.712202,4.1619096,2.6986181702628414e-124,4.032061007860556e-122
PPA1,23.657013,0.70229316,9.996118086251767e-124,1.478679497803601e-121
AHNAK2,23.614704,3.902204,2.722098682054329e-123,3.967458829094185e-121
IFRD1,23.582159,1.0574688,5.8754194109552465e-123,8.521650992484505e-121
MSN,23.574484,1.9685832,7.043391600332567e-123,1.0116964369695083e-120
RPL21,23.554205,0.6132855,1.1367725809253921e-122,1.6249836129160905e-120
RPS17,23.528923,0.9171875,2.0636065658776672e-122,2.9357518671407025e-120
ERRFI1,23.466265,1.1227341,9.019864876032043e-122,1.2590969124838534e-119
TMEM123,23.409986,1.096475,3.3814025993943423e-121,4.698095490083737e-119
CEBPB,23.388397,0.9668295,5.60901496923871e-121,7.756876375831375e-119
CCDC88A,23.377028,3.6846263,7.3207469318286735e-121,1.0077211505743608e-118
RBMS1,23.239452,1.3472387,1.8186012741824553e-119,2.4803886094159147e-117
BID,23.181332,1.3929169,7.025707329106543e-119,9.495243455287492e-117
ATP1B3,23.121208,1.2058011,2.8334391195116727e-118,3.79489393425408e-116
EMP1,23.072731,1.3458169,8.699369286205342e-118,1.154724763333676e-115
PSIP1,22.879545,1.4258637,7.4271194699253e-116,9.771262973419865e-114
LTBR,22.833202,1.1286141,2.146404303979023e-115,2.811411417189793e-113
SAA1,22.762877,4.4860325,1.0699264861838132e-114,1.38917572985604e-112
AKR1B1,22.757519,3.4652803,1.2089656657046106e-114,1.5628772234084863e-112
EIF3L,22.66147,0.9716053,1.0753148808302352e-113,1.378117989298508e-111
CLIC4,22.619467,1.2899374,2.7882406708313723e-113,3.558058363340309e-111
RPS11,22.479446,0.63977003,6.595755044042422e-112,8.345173818064396e-110
KRT6B,22.46847,4.331178,8.445101658952799e-112,1.0639754560408625e-109
VCAN,22.425665,5.2175465,2.21166014015707e-111,2.7629954179533676e-109
EBPL,22.384056,1.0101879,5.628409689026867e-111,7.002071350788111e-109
HLA-DQB1,22.33908,2.8699281,1.5418080611232468e-110,1.9021817046214733e-108
HLA-F,22.287533,2.17039,4.88169403353218e-110,5.973144390905856e-108
EIF3F,22.250027,0.7478843,1.1272679173495103e-109,1.3680431423082852e-107
ACTR3B,22.243294,2.0341516,1.3098088593688944e-109,1.583111659171355e-107
HLA-DRB5,22.20239,2.7038474,3.2566420201117436e-109,3.88874446522018e-107
ID3,22.181353,1.725518,5.199115498457759e-109,6.158776936878269e-107
ARPC2,22.16792,0.7211519,7.007686573170646e-109,8.268235907939795e-107
KRT5,22.162128,5.044879,7.969284730133142e-109,9.365642011108644e-107
MRAS,22.133245,3.2048402,1.5128967458584974e-108,1.7709826356145945e-106
HLA-C,22.082355,0.81359863,4.671035666098869e-108,5.446427586671281e-106
MAML2,22.081423,3.4707797,4.768467400960408e-108,5.538314110654524e-106
EEF2,22.067747,0.6556035,6.452821060677397e-108,7.4654369103938145e-106
ARL4C,21.997395,3.9828007,3.0500279808206576e-107,3.501408569642495e-105
ARMC10,21.968306,0.9769516,5.78877283991851e-107,6.619907032665272e-105
SGK1,21.885876,2.652896,3.541409981037587e-106,4.003678439779109e-104
WDR43,21.832281,1.2928246,1.1455689168281191e-105,1.2901969925776692e-103
WWTR1,21.76704,1.5166758,4.764273001884657e-105,5.325418389663026e-103
RIPK2,21.739998,1.5169024,8.590219649464186e-105,9.53033585214622e-103
TRIM47,21.59012,1.2854106,2.224345645785972e-103,2.4404601138802326e-101
PTDSS1,21.5489,1.3371764,5.421981009845328e-103,5.883640925756611e-101
TM7SF3,21.522741,1.2979388,9.535615440593674e-103,1.0309907414369879e-100
SH3KBP1,21.50142,3.3426738,1.5099646355652475e-102,1.6266586416399095e-100
RTN4,21.499844,0.6491144,1.5621584642996252e-102,1.6768107443689803e-100
STK17A,21.46765,1.8784217,3.1243175545136173e-102,3.329581858363921e-100
CCDC82,21.397905,2.5128186,1.3974842433001821e-101,1.4786974735247087e-99
PMAIP1,21.308561,1.3171825,9.455771992172558e-101,9.93457486371967e-99
IFI27,21.287876,1.1733855,1.4704117079033867e-100,1.5394278630665982e-98
HLA-DRB1,21.203691,1.6221879,8.829357150368985e-100,9.179135529787448e-98
UCK2,21.16641,1.2923552,1.948480236326289e-99,2.018611946574549e-97
POSTN,21.11852,5.6792836,5.375195488535804e-99,5.549329425716496e-97
EIF3E,21.109423,0.676927,6.5162737217315795e-99,6.70409572900502e-97
GLG1,20.894,1.3483124,6.071670785939585e-97,6.140441750964003e-95
RBM17,20.876537,0.80079365,8.750763461909538e-97,8.819879661456145e-95
PABPC4,20.805056,0.9994757,3.895066457665665e-96,3.873311404206462e-94
CMTM7,20.780003,1.5311835,6.565416524547869e-96,6.506984317479393e-94
ARPC1B,20.761936,1.1641185,9.563406339542026e-96,9.4468026808506e-94
PFKP,20.754583,2.0197828,1.1144566450191287e-95,1.0972231598130382e-93
GEM,20.713713,2.3812687,2.6057749015102044e-95,2.5570133711750133e-93
TPM4,20.697252,0.81302804,3.6669606542211e-95,3.5865046424985513e-93
VASP,20.687506,0.95883214,4.488461951656799e-95,4.3755881707741506e-93
RDX,20.665985,1.1106118,7.011203421633779e-95,6.790361932750396e-93
SFT2D2,20.655571,1.3300896,8.698624812016242e-95,8.397279595314251e-93
CCNB1IP1,20.631325,1.1056219,1.4366273996854062e-94,1.3823703066293264e-92
SESN3,20.481453,2.6872556,3.1511469518482888e-93,2.983855169404623e-91
IRF1,20.467299,0.9449829,4.2134669909186084e-93,3.9771115568566024e-91
GSN,20.419603,0.93461716,1.1197062475980575e-92,1.0502279451051435e-90
C6orf48,20.380236,0.98167056,2.504444859333678e-92,2.3416559434769893e-90
S100A6,20.327053,0.97108525,7.412210081397838e-92,6.88710132344381e-90
LAMB3,20.295815,3.963553,1.400137009501796e-91,1.2968932617918038e-89
SMC5,20.158888,1.3326334,2.2487591752530736e-90,2.0700419986934873e-88
YAP1,20.085428,1.6062583,9.896615977894556e-90,9.054033319099656e-88
AMD1,20.073597,0.8534827,1.2558099183666793e-89,1.145367984748358e-87
LYAR,20.063717,1.5682467,1.5319433102930127e-89,1.3929440503040412e-87
GTF2F2,20.058323,1.1590812,1.7074517166778954e-89,1.5477945698775569e-87
HTATIP2,20.053041,0.8739699,1.8987144610966093e-89,1.7159415523339054e-87
S100A2,20.017296,2.940123,3.892909813176881e-89,3.50751174167237e-87
DYNC1LI2,20.011845,1.0526161,4.3427173515481296e-89,3.9009672209540946e-87
PLSCR1,19.999903,1.2566578,5.517961014370406e-89,4.941732977116726e-87
EHBP1,19.96032,1.90157,1.2193151910281396e-88,1.0887056629080983e-86
DTD1,19.95839,1.0252092,1.267320193851919e-88,1.1281805785568595e-86
KLF5,19.94273,1.8430324,1.7334045357174639e-88,1.5384870764324583e-86
GDI2,19.922823,0.7088845,2.58024522055577e-88,2.283286641154307e-86
GLIPR2,19.881752,3.1310513,5.855373728550834e-88,5.150823286124318e-86
DNAJC2,19.815804,0.9090695,2.1750823537647596e-87,1.9021095183672822e-85
BIRC3,19.792702,1.9339976,3.440956607264475e-87,2.9915193802279133e-85
MYO10,19.791344,1.2202768,3.534887492787009e-87,3.064221860729916e-85
IGFBP7,19.732687,2.5724154,1.1300337049814838e-86,9.710778078096665e-85
TINAGL1,19.68299,2.1394155,3.016687240531735e-86,2.5848749776002905e-84
PLOD3,19.659645,1.3731798,4.780609490697959e-86,4.0728327216883214e-84
FBL,19.656443,0.8049019,5.0921051121012406e-86,4.325816037088749e-84
KRT14,19.610447,4.7504234,1.2591970951002447e-85,1.063628046267488e-83
CCDC50,19.6075,1.236223,1.334311657911058e-85,1.1238835276110335e-83
ETS2,19.57396,1.2385411,2.5785310479409176e-85,2.165747560690037e-83
PUM3,19.569641,1.0612684,2.8064952134109287e-85,2.3505780895872434e-83
PHLDA2,19.548462,0.915869,4.2515129355904683e-85,3.540902916356062e-83
SND1,19.514105,0.89624995,8.331619380841659e-85,6.919665895267181e-83
CALR,19.48344,0.60070133,1.5173002476106833e-84,1.2531635628391235e-82
GTPBP4,19.439425,1.1089978,3.581583536937823e-84,2.941746500104207e-82
IL18,19.43302,2.510283,4.0577731446039362e-84,3.323685093898315e-82
BAG2,19.428139,3.0918322,4.4624516501903735e-84,3.63512534014001e-82
MTDH,19.38497,0.5322518,1.0336679460660745e-83,8.397281158574479e-82
HOMER3,19.360771,1.3106976,1.6539335005895044e-83,1.336315347093145e-81
