PATIENT_ID,Consensus_16,Stage1_DE_top50,Stage2_Geneformer_top50
MB-0232,0.830310493621539,0.8524080209787877,0.23569950118046637
MB-0233,0.8464024996935104,0.89873634826019,0.24851742547262887
MB-0234,0.7624706162546927,0.8608884336300721,0.20704365646216094
MB-0235,0.7770252153766425,0.8652592621447948,0.2464107979092107
MB-0236,0.7838555213534766,0.9049021777469313,0.2674956858661952
MB-0238,0.843267653349453,0.9241195093482948,0.2667977491968053
MB-0239,0.7617836238493605,0.8961472813961453,0.204525700237026
MB-0241,0.8470141326101404,0.9307975314291717,0.2525863471236369
MB-0242,0.8379710233513143,0.9193092190904394,0.24734497082959217
MB-0243,0.7937975195534064,0.8897226217613137,0.230405098848714
MB-0244,0.7513646781827088,0.9141338669538173,0.27687047565865175
MB-0245,0.8231715365313473,0.8982447893346108,0.257661089932325
MB-0247,0.8502519619164286,0.9539968836822044,0.2830683667575812
MB-0248,0.822195545401589,0.8222990853001239,0.2744700054339138
MB-0249,0.7979652534904589,0.8880814408645926,0.2787440922657365
MB-0253,0.7703182668325739,0.8983300432100589,0.25490652340925185
MB-0256,0.8184021876427583,0.8939592730588297,0.2686214934180871
MB-0257,0.7975763833516153,0.8679275696817245,0.271102912228783
MB-0258,0.7583882293818702,0.8625199877387874,0.24485656601448175
MB-0259,0.7955841108599743,0.8633138825299917,0.2491369555138668
MB-0260,0.8159350148056536,0.8864135964670636,0.2847972484446452
MB-0261,0.7990413857697894,0.835477444577622,0.28370537225449016
MB-0262,0.8014908975596403,0.8884819171740833,0.2586613314143837
MB-0263,0.8333699959088692,0.9041740673911141,0.28051545419090557
MB-0264,0.8154287106427596,0.8619547831745439,0.28455878792609707
MB-0265,0.8313742917828959,1.000141385097874,0.3103405841150026
MB-0266,0.8307231398035448,0.9451844094104143,0.2929921114003378
MB-0268,0.8202314570206156,0.8880053392812237,0.2543599313534429
MB-0269,0.7812215699561548,0.9494973640714471,0.18482858454681558
MB-0270,0.8103518894203281,0.8167849327878455,0.2816323167261908
MB-0272,0.8004613353841051,0.8714448421497856,0.2547827098112556
MB-0273,0.7685213371033136,0.8867750692145396,0.21387360849379794
MB-0275,0.8577236455185476,0.9574489385995004,0.3379755838850241
MB-0278,0.7830023548075187,0.9577780520971809,0.3356758909306257
MB-0279,0.815677747802748,0.9483068355864702,0.32355650882688747
MB-0280,0.7781792066633866,0.8332182015479992,0.26332788149186215
MB-0281,0.8432772253663299,0.9534220133842447,0.3887865995591226
MB-0282,0.8282952353432914,0.9540267201290218,0.33133170466154954
MB-0283,0.7634152415838164,0.8559271659095475,0.20532919939986027
MB-0284,0.8723132777348952,0.9558887298599259,0.36632554532499256
MB-0285,0.7710125572782355,0.9399815818710158,0.26365860084279436
MB-0286,0.8118365619029871,0.9318186732674617,0.2638027406429017
MB-0287,0.7735575091498721,0.8458104077151765,0.3016525801982861
MB-0288,0.7877469535015275,0.8964955412708571,0.24917270529486177
MB-0289,0.7999834944929451,0.9278260325891063,0.19599093302539494
MB-0290,0.8450753835448077,0.8758273276444634,0.25861229072050784
MB-0291,0.8588227677788196,0.8926762803486309,0.2756791633916054
MB-0292,0.8042682735796333,0.8918471254693048,0.2539793567384185
MB-0293,0.8567335667059144,0.989649145952302,0.29458039165857053
MB-0294,0.8091428092740779,0.8850885170624735,0.3129091062663139
MB-0295,0.7948359575767655,0.9250129053458831,0.277388118157549
MB-0299,0.7989020977735828,0.9651553875776779,0.32193959811887835
MB-0301,0.7774084715827161,0.880966333538729,0.24220118087903558
MB-0302,0.8558667954220438,0.9388913851851797,0.2753388674561944
MB-0303,0.858874508232459,0.9700206617894572,0.3023917273470492
MB-0304,0.756842228781557,0.8048532686812503,0.18510036133381813
MB-0305,0.8203465610221444,0.8893660165734111,0.24723438946161677
