gene,spearman_r,pval
RAMP1,0.12998506581695643,9.625889743075842e-93
GDAP1,0.13040572291274058,2.4522877902318883e-93
CRISPLD1,0.1304148976766295,2.3801087271290105e-93
NTRK2,0.13173125569195454,3.201115715408182e-95
S100P,0.13196377158886582,1.48850785680642e-95
CPM,0.1324229807442922,3.2673995722483716e-96
HES1,0.1330340760342374,4.3070113877461126e-97
GSDMB,0.1332346766122181,2.2099579977828862e-97
AREG,0.1337945448564809,3.4135230261651095e-98
CRISP3,0.1347694416778717,1.29513863492102e-99
GLYATL2,0.134929438848198,7.552786275065249e-100
LGALS7B,0.1359227062902921,2.6164231500188414e-101
GP2,0.13690002347977281,9.33161426527406e-103
SYT8,0.13729457143947305,2.4124249593947994e-103
PPP1R14C,0.1379003934140334,2.9988077251654526e-104
ENTHD2,0.13893246534805848,8.410841568671434e-106
CEBPB,0.13944251331928198,1.4235310763193097e-106
TPT1-AS1,0.13986222524208564,3.283495787179625e-107
SERPINA5,0.13994771916025084,2.434066179030635e-107
HOXA7,0.14004902389375556,1.706787578028938e-107
KLK8,0.14093589818785138,7.545878380630158e-109
AARD,0.14119126277956565,3.0624129179698182e-109
MARCO,0.1422091308748663,8.273339216119328e-111
IGHG4,0.1423039426700835,5.901944435143156e-111
HOXA9,0.1432475217351144,2.0213047155063848e-112
KRT5,0.14369392757618163,4.0631979684636093e-113
RP11-10A14.5,0.1442915915204777,4.704261372562945e-114
TFPI2,0.14434823107711212,3.833039586821218e-114
TNF,0.14446820013941852,2.4832544895745068e-114
RBP7,0.1458915311336026,1.3994168094318994e-116
IGFBP2,0.14624518408399179,3.833254907482756e-117
DHRS2,0.14644162645502606,1.8645459000108432e-117
GABRA5,0.14688453872616689,3.6582278153921115e-118
ARMT1,0.14701428772252526,2.2680318127200792e-118
RAMP2,0.14773648027109101,1.5722651997552612e-119
SLC39A6,0.14794866366981704,7.15890324291078e-120
MSLN,0.14805670528302609,4.793698699119873e-120
KCNK6,0.14868153772602025,4.685657242010615e-121
MAGED2,0.15097366322649325,8.474516940303651e-125
NEUROG2,0.15108917793313711,5.469134812502624e-125
CST9,0.15196502728693878,1.9538167566135375e-126
LINC00482,0.1525898711252553,1.791479482769639e-127
CDKN2A,0.15284970760345995,6.612948467163306e-128
PDK4,0.15313172684200402,2.2374720128783864e-128
GJB3,0.15314302152736609,2.1423479824144687e-128
COX7B2,0.15324048626038458,1.4723677421285378e-128
GFRA1,0.1535083902700027,5.2452117900244873e-129
SNX10,0.15657330838178882,3.414405173833853e-134
PRSS23,0.1569070800869406,9.162809873614015e-135
ACP5,0.15711036768757936,4.106347582721308e-135
NPY1R,0.1571450504078568,3.580459599831476e-135
ISG15,0.15813001676901667,7.210269319910552e-137
IGHA2,0.15813525298842734,7.061642174773063e-137
PLIN5,0.15837597916395066,2.7083361770869414e-137
IGHM,0.15884889640377833,4.103178125213683e-138
KISS1R,0.1591189830989941,1.392839506778095e-138
SDR16C5,0.15964708719659365,1.6749994352661097e-139
NEUROD2,0.15988980013373877,6.312026228300864e-140
HLA-DMB,0.15996141585286053,4.73127596231475e-140
PODXL,0.16020904826518442,1.7443829483868804e-140
IGLV7-46,0.1608755713835691,1.1797369341382971e-141
BMPR1B,0.1610920272011327,4.906513486717723e-142
KLK7,0.16148650717363883,9.88583663500091e-143
IFI6,0.1621740841262589,5.998375008758843e-144
LINC01468,0.16236503145879727,2.748536563364233e-144
COX6C,0.16329671811337387,6.016451685533052e-146
TIMP3,0.1636924138694772,1.1786994337421645e-146
STC2,0.16481956409103887,1.1090234153358316e-148
DAPL1,0.16520647104948444,2.2179901094359014e-149
CHI3L1,0.16522782937172387,2.0291944664385833e-149
SCGB3A1,0.16640710880907209,1.4652466472722906e-151
