gene_symbol,wilcoxon_score,log2fc,pval,pval_adj
KIAA1549L,2.7857559,5.0435605,0.005340307153671461,0.019576297941081684
PRAF2,2.785679,-0.043635484,0.005341570527790027,0.019578515347975948
NPAS3,2.7851732,1.5134381,0.00534991556856222,0.019606685517078823
PEX5L,2.7849329,3.5539904,0.0053538814755309545,0.019618801813157734
HECW1,2.7848458,3.6472926,0.005355316606193688,0.01962164247097436
SATB2,2.7842605,0.7664566,0.00536499168612779,0.01965466951745165
RIT1,2.7841277,-0.07572588,0.005367190845295153,0.01966030373329565
EVC,2.7838721,3.6020052,0.005371422285566284,0.01967337999713505
ANKHD1,2.7836037,0.12462296,0.005375868539687935,0.019685901005883303
POLR1B,2.7835858,0.17476091,0.005376165074757758,0.019685901005883303
CDKN2B,2.783527,0.859561,0.005377139508266936,0.01968704457570506
RP11-218E20.3,2.7833915,3.6717412,0.005379385549193542,0.01969041863033012
LNX1,2.7833276,0.13572912,0.0053804452964687,0.019691873461337255
KIAA0907,2.7828445,-0.031758938,0.005388463087408678,0.019716363890957694
ELF3,2.7819064,0.10839404,0.005404062844890631,0.01976857782568075
ABCD4,2.780227,-0.029973693,0.005432091254265548,0.01986622008155935
STIM1,2.7797644,-0.058231883,0.005439835955425347,0.019892097215922007
TDRD3,2.7796671,0.020864887,0.005441463180291722,0.01989560068121173
OSER1,2.7792609,-0.13472977,0.005448276598634709,0.01991806321249303
ESCO2,2.776091,0.38505107,0.005501677481423402,0.020108343768305104
DCAF4,2.7744834,0.063148655,0.005528945702361306,0.02020552391449222
SNX21,2.7736144,-0.027814677,0.005543736009869152,0.02025459606554921
RAPGEF1,2.7723618,0.44210133,0.0055651142628626565,0.020327707908807786
PHKG2,2.771935,-0.102290876,0.005572417300026303,0.020351883501005044
HECA,2.7708077,0.14248623,0.0055917441535629,0.020419961792911535
RP11-54A9.1,2.7705522,8.545167,0.005596135063372398,0.020433486901541387
DDX23,2.767247,-0.08996621,0.005653190354888465,0.02063928153510544
TANGO6,2.7667205,1.0822881,0.0056623286744739085,0.020670106627149503
IPMK,2.766286,0.0091619445,0.005669880039313823,0.02069513174673679
NAV3,2.7646601,2.0831249,0.005698211657115552,0.020795989591385382
VTCN1,2.7645323,-0.27518937,0.005700444390071102,0.020801584812221906
KIT,2.7643406,1.7608188,0.005703794968988205,0.020811257309231352
DHRS11,2.7636507,0.118135355,0.005715871765133168,0.020852762600331837
ANGPTL4,2.763359,0.21613035,0.00572097777728702,0.020868829867755484
CENPM,2.7629452,-0.10040349,0.00572824076561508,0.02089276038812968
ERVMER34-1,2.7620735,0.6723579,0.005743556087996952,0.020946050921674644
ZBTB11-AS1,2.7595913,0.16249205,0.005787369066405229,0.021100655358850605
ARHGEF6,2.7592053,0.022701966,0.0057942094222607566,0.02112300499657664
SLC28A3,2.758569,1.5337855,0.005805505136998478,0.021161589339018728
KCTD18,2.7579556,0.031248914,0.005816411359272238,0.021198744661098487
UFSP1,2.7570915,0.2941393,0.005831802281337688,0.021252234003065754
EIF3C,2.7563248,0.069115296,0.005845493608174432,0.021299517334785585
CTD-3184A7.4,2.7556958,-0.089859724,0.005856742110676532,0.021337889128384427
FAM20B,2.7556117,-0.094299614,0.005858252539499772,0.02134077710817774
ZDHHC20,2.7553713,-0.3121535,0.00586255689794535,0.021353841020042764
