gene_symbol,ig_mean,n_cells,ig_rank
ANXA1,0.013547740341164172,20,347
DSTN,0.013543923963258816,82,348
ATP5IF1,0.01353305219931321,18,349
MT-ND1,0.013507704393217159,93,350
CHCHD2,0.013476673416265,104,351
RPLP1,0.013435788467912135,99,352
CYB5R1,0.013400696657217022,11,353
RPL37,0.013308945433458402,42,354
ERBB2,0.01329992842511274,10,355
SERHL2,0.01327533192982498,14,356
POLR2F,0.013225459117058884,34,357
SRP14,0.01321175420483531,43,358
SPSB3,0.013211409684599322,17,359
TUBB6,0.013196812476962805,12,360
GRN,0.013183110139586708,11,361
ZCCHC17,0.01317588227102533,20,362
RPL18,0.01317429194589042,72,363
PSMC5,0.013170612061263196,14,364
CSRP2,0.013169235404348001,16,365
HES1,0.013166098962896146,13,366
DYNLRB1,0.01314639827251085,32,367
RPL13A,0.0131459593346032,48,368
ANXA2,0.013103757402859628,52,369
BTG2,0.013087342078021418,30,370
UQCR10,0.013066936292064686,15,371
MAF1,0.013051887889477339,11,372
COL6A1,0.013031076440321547,14,373
EIF4G2,0.013015391654334962,12,374
HSP90AA1,0.013010460206545716,86,375
CCNL1,0.012908485781570727,22,376
HEBP2,0.012882974519229987,34,377
SAT1,0.012873512207685659,24,378
TBCA,0.012841229419396057,23,379
KRT7,0.012806878200665648,56,380
RPL8,0.012780362032353878,75,381
RSL24D1,0.012725994332383077,15,382
COL6A2,0.012678209119118176,13,383
UBE2D2,0.012633869328419678,20,384
HLA-DPB1,0.01263250976002642,21,385
TMEM141,0.012605180125683546,10,386
EIF5A,0.01260270663586102,38,387
PARL,0.012575749126780365,18,388
PTMA,0.012493256176821888,90,389
CST3,0.012490437919041142,16,390
RPL24,0.012454129111788729,51,391
RPS6,0.012438101600250833,77,392
CD99,0.012434617891399697,11,393
MFGE8,0.012418996867684958,24,394
CD55,0.012410269218630024,14,395
LGALS1,0.012387261535464362,22,396
RPS18,0.012341300381295797,72,397
NDUFB9,0.0123412904108218,61,398
HMGN1,0.012318454639937141,38,399
PFDN4,0.012310424463066738,16,400
HDDC2,0.012299300757669178,28,401
PLSCR1,0.012239297799533233,10,402
RPS13,0.012208077092573308,57,403
MAFF,0.012160004763006183,19,404
DDIT4,0.01213210862239494,17,405
POLR2L,0.012127387104555964,16,406
ZNF428,0.012102416614652611,16,407
NUPR1,0.012091245589544997,20,408
ABRACL,0.012084940705319932,29,409
GPATCH4,0.01207780052209273,12,410
GABARAP,0.01207096019708034,36,411
PSAP,0.012069338450341352,28,412
GADD45B,0.012043928766312698,15,413
CDKN2A,0.012033984000721065,19,414
RO60,0.011976345598948402,13,415
CUTA,0.01196225808349018,51,416
TAPBP,0.011958699292418632,11,417
NPC2,0.01195799927227199,10,418
TMEM258,0.011927444745149268,19,419
CD164,0.011925171568779456,31,420
RPL7,0.011837371049519136,53,421
EGLN3,0.011814205695620993,11,422
SLC50A1,0.011810805899305986,13,423
